Taajama,Väkiluku,Maapinta-ala_km2,Väestöntiheys,Vuosi
Helsingin kt.,1159211,631.11,1836.8,2011
Joensuun kt.,63490,67.81,936.3,2011
Jyväskylän kt.,116480,98.16,1186.7,2011
Kuopion kt.,82268,45.46,1809.5,2011
Lahden kt.,115897,107.31,1080.0,2011
Oulun kt.,185440,190.02,975.9,2011
Porin kt.,84294,119.95,702.8,2011
Tampereen kt.,313058,258.52,1211.0,2011
Turun kt.,252468,252.65,999.3,2011
Vaasan kt.,64795,65.97,982.2,2011
Helsingin kt.,1176976,640.46,1837.7,2012
Joensuun kt.,64108,68.57,934.9,2012
Jyväskylän kt.,117974,99.25,1188.7,2012
Kuopion kt.,83454,46.07,1811.5,2012
Lahden kt.,116549,108.61,1073.1,2012
Oulun kt.,188279,192.07,980.3,2012
Porin kt.,84442,120.01,703.6,2012
Tampereen kt.,317316,265.86,1193.5,2012
Turun kt.,254671,254.62,1000.2,2012
Vaasan kt.,65414,66.65,981.5,2012
Helsingin kt.,1193187,641.9,1858.8,2013
Joensuun kt.,64621,68.84,938.7,2013
Jyväskylän kt.,119099,100.83,1181.2,2013
Kuopion kt.,84902,46.88,1811.0,2013
Lahden kt.,116817,109.6,1065.8,2013
Oulun kt.,191325,194.62,983.1,2013
Porin kt.,84489,119.79,705.3,2013
Tampereen kt.,321481,267.11,1203.6,2013
Turun kt.,257158,256.13,1004.0,2013
Vaasan kt.,66251,67.02,988.5,2013
Helsingin kt.,1214210,669.31,1814.1,2014
Joensuun kt.,65686,69.49,945.3,2014
Jyväskylän kt.,120306,100.36,1198.7,2014
Kuopion kt.,86034,47.47,1812.4,2014
Lahden kt.,117424,109.31,1074.2,2014
Oulun kt.,193817,197.05,983.6,2014
Porin kt.,84509,120.61,700.7,2014
Tampereen kt.,325025,270.65,1200.9,2014
Turun kt.,260367,260.23,1000.5,2014
Vaasan kt.,66911,67.58,990.1,2014
Helsingin kt.,1231595,672.08,1832.5,2015
Joensuun kt.,66569,69.91,952.3,2015
Jyväskylän kt.,121851,100.18,1216.3,2015
Kuopion kt.,87166,47.25,1844.9,2015
Lahden kt.,117481,109.6,1071.9,2015
Oulun kt.,196321,198.64,988.3,2015
Porin kt.,84778,121.19,699.6,2015
Tampereen kt.,328072,272.73,1202.9,2015
Turun kt.,262301,262.76,998.3,2015
Vaasan kt.,67653,67.55,1001.6,2015
Helsingin kt.,1249820,676.46,1847.6,2016
Joensuun kt.,67193,70.92,947.5,2016
Jyväskylän kt.,121782,92.51,1316.4,2016
Kuopion kt.,88023,47.37,1858.3,2016
Lahden kt.,118119,110.03,1073.5,2016
Oulun kt.,198358,199.05,996.5,2016
Porin kt.,84536,121.5,695.8,2016
Tampereen kt.,330711,274.5,1204.8,2016
Turun kt.,269057,276.86,971.8,2016
Vaasan kt.,67979,70.24,967.9,2016
Helsingin kt.,1268296,680.12,1864.8,2017
Joensuun kt.,67811,72.12,940.2,2017
Jyväskylän kt.,123241,94.19,1308.5,2017
Kuopion kt.,88520,47.4,1867.3,2017
Lahden kt.,119068,115.97,1026.7,2017
Oulun kt.,200400,201.26,995.7,2017
Porin kt.,84190,121.37,693.6,2017
Tampereen kt.,334112,276.23,1209.5,2017
Turun kt.,272230,280.82,969.4,2017
Vaasan kt.,67690,71.5,946.7,2017
Helsingin kt.,1286172,682.98,1883.2,2018
Joensuun kt.,71798,80.17,895.6,2018
Jyväskylän kt.,126606,105.39,1201.3,2018
Kuopion kt.,89307,47.87,1865.6,2018
Lahden kt.,119459,116.56,1024.9,2018
Oulun kt.,202586,201.87,1003.5,2018
Porin kt.,83785,120.19,697.1,2018
Tampereen kt.,337541,277.54,1216.2,2018
Turun kt.,274896,281.62,976.1,2018
Vaasan kt.,67548,69.17,976.6,2018
Helsingin kt.,1305893,682.91,1912.2,2019
Joensuun kt.,72621,80.82,898.6,2019
Jyväskylän kt.,128911,111.22,1159.1,2019
Kuopion kt.,91243,53.2,1715.1,2019
Lahden kt.,119469,116.32,1027.1,2019
Oulun kt.,205137,203.25,1009.3,2019
Porin kt.,83479,120.42,693.2,2019
Tampereen kt.,341696,279.37,1223.1,2019
Turun kt.,277677,283.27,980.3,2019
Vaasan kt.,67789,69.73,972.2,2019
Helsingin kt.,1298955,638.37,2034.8,2020
Joensuun kt.,73713,86.68,850.4,2020
Jyväskylän kt.,130375,113.5,1148.7,2020
Kuopion kt.,92352,53.59,1723.3,2020
Lahden kt.,119842,113.46,1056.2,2020
Oulun kt.,207690,206.49,1005.8,2020
Porin kt.,83420,122.17,682.8,2020
Tampereen kt.,349553,290.3,1204.1,2020
Turun kt.,281108,288.52,974.3,2020
Vaasan kt.,67900,69.48,977.3,2020
Helsingin kt.,1340363,721.35,1858.1,2021
Joensuun kt.,72950,80.09,910.9,2021
Jyväskylän kt.,131432,112.65,1166.7,2021
Kuopion kt.,93872,54.39,1725.9,2021
Lahden kt.,119731,117.8,1016.4,2021
Oulun kt.,210271,207.14,1015.1,2021
Porin kt.,83206,122.46,679.5,2021
Tampereen kt.,353704,291.61,1212.9,2021
Turun kt.,283305,285.38,992.7,2021
Vaasan kt.,68417,72.83,939.4,2021
Helsingin kt.,1360011,729.87,1863.4,2022
Joensuun kt.,73567,80.59,912.9,2022
Jyväskylän kt.,132962,113.04,1176.2,2022
Kuopion kt.,95122,54.53,1744.4,2022
Lahden kt.,119933,117.75,1018.5,2022
Oulun kt.,212738,207.04,1027.5,2022
Porin kt.,82956,122.7,676.1,2022
Tampereen kt.,359306,292.31,1229.2,2022
Turun kt.,286957,284.44,1008.8,2022
Vaasan kt.,69034,72.89,947.1,2022
Helsingin kt.,1375555,689.46,1995.1,2023
Joensuun kt.,74508,81.01,919.7,2023
Jyväskylän kt.,134804,113.14,1191.5,2023
Kuopion kt.,96796,54.71,1769.3,2023
Lahden kt.,120334,118.95,1011.6,2023
Oulun kt.,215543,206.64,1043.1,2023
Porin kt.,83031,122.58,677.4,2023
Tampereen kt.,362128,282.38,1282.4,2023
Turun kt.,292181,287.18,1017.4,2023
Vaasan kt.,70203,72.46,968.9,2023
